sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
129,1785929197560,30505,0,5317664,0,7003611,0
130,1785929197569,30723,0,5317566,0,7003846,0
131,1785929197581,31215,0,5317632,0,7003822,0
132,1785929197589,31593,0,5317583,0,7003894,0
133,1785929197600,32171,0,5317519,0,7003922,0
134,1785929197609,32665,0,5317561,0,7004000,0
135,1785929197620,33198,0,5317374,0,7004024,0
136,1785929197630,33697,0,5317304,0,7003937,0
137,1785929197640,34081,0,5317142,0,7003969,0
138,1785929197650,34145,0,5316919,0,7003730,0
139,1785929197661,34355,0,5316883,0,7003453,0
140,1785929197669,34642,0,5316590,0,7003525,0
141,1785929197681,34655,0,5316581,0,7003418,0
142,1785929197690,35026,0,5316323,0,7003216,0
143,1785929197700,35088,0,5316189,0,7003064,0
144,1785929197710,35298,0,5316108,0,7002908,0
145,1785929197721,35430,0,5316006,0,7003039,0
146,1785929197731,35770,0,5316061,0,7003111,0
147,1785929197740,36075,0,5315981,0,7003061,0
148,1785929197750,36483,0,5315859,0,7002907,0
149,1785929197763,36533,0,5315747,0,7003018,0
150,1785929197770,36895,0,5315690,0,7002869,0
151,1785929197781,37157,0,5315546,0,7003007,0
152,1785929197790,37720,0,5315664,0,7003038,0
153,1785929197800,38365,0,5315541,0,7003173,0
154,1785929197813,38954,0,5315571,0,7003299,0
155,1785929197822,39746,0,5315656,0,7003274,0
156,1785929197830,40410,0,5315704,0,7003375,0
157,1785929197849,41162,0,5315605,0,7003382,0
158,1785929197850,42021,0,5315585,0,7003537,0
159,1785929197864,42820,0,5315652,0,7003684,0
160,1785929197870,43884,0,5315767,0,7003765,0
161,1785929197881,44774,0,5315725,0,7003789,0
162,1785929197890,45846,0,5315756,0,7003987,0
163,1785929197901,46904,0,5315884,0,7004078,0
164,1785929197910,48161,0,5315976,0,7004441,0
165,1785929197921,49370,0,5315916,0,7004621,0
166,1785929197931,50408,0,5316073,0,7004686,0
167,1785929197941,51462,0,5316096,0,7004711,0
168,1785929197951,52204,0,5316032,0,7004481,0
169,1785929197962,52263,0,5315949,0,7004427,0
170,1785929197970,52212,0,5315894,0,7003973,0
171,1785929197981,51348,0,5315790,0,7003584,0
172,1785929197990,50523,0,5315752,0,7003371,0
173,1785929198002,49036,0,5315445,0,7002966,0
174,1785929198012,47694,0,5315537,0,7002468,0
175,1785929198021,45847,0,5315565,0,7002265,0
176,1785929198030,44144,0,5315348,0,7002092,0
177,1785929198045,42433,0,5315261,0,7001761,0
178,1785929198050,40508,0,5315176,0,7001462,0
179,1785929198062,38819,0,5315123,0,7001390,0
180,1785929198071,37502,0,5315003,0,7001192,0
181,1785929198082,36165,0,5314890,0,7001069,0
182,1785929198091,34949,0,5314730,0,7000945,0
183,1785929198101,33730,0,5314389,0,7000527,0
184,1785929198112,32482,0,5314201,0,7000526,0
185,1785929198121,31652,0,5313939,0,7000392,0
186,1785929198131,30663,0,5313880,0,7000250,0
187,1785929198146,30101,0,5313718,0,7000177,0
188,1785929198151,29567,0,5313535,0,6999935,0
189,1785929198183,29356,0,5313543,0,7000010,0
190,1785929198183,29308,0,5313518,0,7000068,0
191,1785929198183,29504,0,5313603,0,7000225,0
192,1785929198192,29868,0,5313565,0,7000198,0
193,1785929198201,30206,0,5313522,0,7000366,0
194,1785929198211,30644,0,5313501,0,7000408,0
195,1785929198222,31081,0,5313541,0,7000529,0
196,1785929198231,31799,0,5313522,0,7000614,0
197,1785929198245,32365,0,5313596,0,7000653,0
198,1785929198251,32972,0,5313520,0,7000673,0
199,1785929198263,33542,0,5313541,0,7000580,0
200,1785929198271,34144,0,5313627,0,7000745,0
201,1785929198282,34955,0,5313712,0,7000968,0
202,1785929198299,35337,0,5313867,0,7000925,0
203,1785929198302,36105,0,5314002,0,7001113,0
204,1785929198314,36672,0,5314050,0,7001077,0
205,1785929198327,37317,0,5314128,0,7001296,0
206,1785929198331,38039,0,5314225,0,7001437,0
207,1785929198344,38649,0,5314306,0,7001497,0
208,1785929198351,39468,0,5314308,0,7001573,0
209,1785929198362,40183,0,5314506,0,7001674,0
210,1785929198372,40806,0,5314483,0,7001799,0
211,1785929198382,41601,0,5314624,0,7001852,0
212,1785929198394,42481,0,5314816,0,7001937,0
213,1785929198402,43479,0,5314774,0,7002034,0
214,1785929198411,44250,0,5314830,0,7002165,0
215,1785929198423,45447,0,5314914,0,7002265,0
216,1785929198431,46381,0,5314988,0,7002470,0
217,1785929198444,47626,0,5315116,0,7002478,0
218,1785929198452,48616,0,5315156,0,7002640,0
219,1785929198463,49869,0,5315209,0,7002808,0
220,1785929198477,50953,0,5315250,0,7003002,0
221,1785929198485,52068,0,5315373,0,7003216,0
222,1785929198498,53150,0,5315405,0,7003292,0
223,1785929198502,54478,0,5315682,0,7003661,0
224,1785929198515,55831,0,5315684,0,7003732,0
225,1785929198526,57050,0,5315831,0,7004009,0
226,1785929198532,58526,0,5315705,0,7004115,0
227,1785929198542,60019,0,5315839,0,7004191,0
228,1785929198552,61263,0,5315756,0,7004257,0
229,1785929198563,62315,0,5315696,0,7004263,0
230,1785929198572,63252,0,5315602,0,7004240,0
231,1785929198582,63817,0,5315426,0,7003916,0
232,1785929198592,64142,0,5315264,0,7003680,0
233,1785929198602,63991,0,5315142,0,7003292,0
234,1785929198612,63330,0,5314985,0,7003021,0
235,1785929198623,62245,0,5314787,0,7002430,0
236,1785929198632,60993,0,5314818,0,7002154,0
237,1785929198644,59548,0,5314783,0,7001912,0
238,1785929198652,58050,0,5314911,0,7001570,0
239,1785929198663,56896,0,5315059,0,7001447,0
240,1785929198672,55233,0,5315204,0,7001378,0
241,1785929198682,54114,0,5315406,0,7001445,0
242,1785929198695,53082,0,5315571,0,7001412,0
243,1785929198703,52199,0,5315825,0,7001746,0
244,1785929198712,51581,0,5316036,0,7001683,0
245,1785929198726,50962,0,5316111,0,7001904,0
246,1785929198732,50835,0,5316539,0,7002155,0
247,1785929198744,50795,0,5316739,0,7002476,0
248,1785929198757,50722,0,5316936,0,7002670,0
249,1785929198763,50699,0,5317128,0,7002918,0
250,1785929198773,50912,0,5317179,0,7003200,0
251,1785929198784,51128,0,5317361,0,7003305,0
252,1785929198792,51268,0,5317376,0,7003378,0
253,1785929198806,52013,0,5317322,0,7003282,0
254,1785929198813,52434,0,5317361,0,7003490,0
255,1785929198823,52719,0,5317300,0,7003479,0
256,1785929198833,53394,0,5317094,0,7003350,0
257,1785929198843,53597,0,5316970,0,7003187,0
258,1785929198853,54129,0,5316704,0,7003287,0
259,1785929198863,54498,0,5316688,0,7003279,0
260,1785929198873,54884,0,5316558,0,7003140,0
261,1785929198883,55306,0,5316347,0,7003136,0
262,1785929198893,55775,0,5316252,0,7003016,0
263,1785929198903,56133,0,5316138,0,7002864,0
264,1785929198913,56313,0,5315908,0,7002734,0
265,1785929198923,56584,0,5315667,0,7002520,0
266,1785929198933,56579,0,5315527,0,7002412,0
267,1785929198944,56854,0,5315142,0,7002077,0
268,1785929198953,57078,0,5314945,0,7001828,0
269,1785929198965,57042,0,5314698,0,7001548,0
270,1785929198973,57033,0,5314566,0,7001381,0
271,1785929198985,57342,0,5314712,0,7001526,0
272,1785929198993,57709,0,5314576,0,7001400,0
273,1785929199003,58172,0,5314553,0,7001568,0
274,1785929199013,58753,0,5314576,0,7001642,0
275,1785929199024,59216,0,5314719,0,7001754,0
276,1785929199033,59847,0,5314871,0,7001923,0
277,1785929199044,60593,0,5314865,0,7001937,0
278,1785929199053,61192,0,5314840,0,7001903,0
279,1785929199064,61907,0,5314783,0,7002116,0
280,1785929199073,62692,0,5314659,0,7001887,0
281,1785929199084,63441,0,5314471,0,7001789,0
282,1785929199093,63736,0,5314238,0,7001707,0
283,1785929199104,64201,0,5313818,0,7001484,0
284,1785929199115,64785,0,5313733,0,7001304,0
285,1785929199127,65289,0,5313519,0,7001238,0
286,1785929199134,65869,0,5313406,0,7001306,0
287,1785929199144,66707,0,5313566,0,7001379,0
288,1785929199154,67868,0,5313665,0,7001591,0
289,1785929199164,68996,0,5313625,0,7001793,0
290,1785929199173,70119,0,5313720,0,7001745,0
291,1785929199184,71275,0,5313732,0,7002008,0
292,1785929199194,72513,0,5313925,0,7002249,0
293,1785929199204,73482,0,5313976,0,7002195,0
294,1785929199214,74514,0,5313950,0,7002251,0
295,1785929199224,75542,0,5313823,0,7002192,0
296,1785929199234,76155,0,5313617,0,7002008,0
297,1785929199244,76145,0,5313313,0,7001718,0
298,1785929199254,75754,0,5313108,0,7001205,0
299,1785929199266,74602,0,5312773,0,7000670,0
300,1785929199274,73313,0,5312616,0,7000233,0
301,1785929199286,71586,0,5312264,0,6999700,0
302,1785929199294,69717,0,5312046,0,6999278,0
303,1785929199305,67822,0,5311849,0,6998654,0
304,1785929199314,65656,0,5311447,0,6998209,0
305,1785929199325,63725,0,5311100,0,6997950,0
306,1785929199334,61689,0,5310725,0,6997418,0
307,1785929199345,59827,0,5310471,0,6997007,0
308,1785929199354,58135,0,5310182,0,6996568,0
309,1785929199364,56269,0,5309813,0,6996236,0
310,1785929199376,54648,0,5309333,0,6995792,0
311,1785929199385,53094,0,5309007,0,6995495,0
312,1785929199395,51694,0,5308650,0,6995082,0
313,1785929199409,50531,0,5308428,0,6994809,0
314,1785929199414,49536,0,5308158,0,6994571,0
315,1785929199426,48726,0,5308119,0,6994598,0
316,1785929199434,48327,0,5307940,0,6994454,0
317,1785929199448,48094,0,5307930,0,6994490,0
318,1785929199458,47796,0,5307899,0,6994555,0
319,1785929199465,47752,0,5307707,0,6994544,0
320,1785929199475,48105,0,5308010,0,6994704,0
321,1785929199485,48480,0,5307890,0,6994615,0
322,1785929199495,48791,0,5307632,0,6994489,0
323,1785929199505,48894,0,5307498,0,6994464,0
324,1785929199515,48977,0,5307281,0,6994405,0
325,1785929199526,49250,0,5307264,0,6994233,0
326,1785929199535,49314,0,5307085,0,6993975,0
327,1785929199545,49318,0,5306935,0,6993970,0
328,1785929199555,49397,0,5306759,0,6993859,0
329,1785929199566,49452,0,5306639,0,6993827,0
330,1785929199575,49554,0,5306547,0,6993774,0
331,1785929199586,49486,0,5306425,0,6993552,0
332,1785929199595,49861,0,5306342,0,6993619,0
333,1785929199610,49786,0,5306265,0,6993390,0
334,1785929199615,49908,0,5306186,0,6993658,0
335,1785929199626,50315,0,5306050,0,6993427,0
336,1785929199635,50494,0,5306036,0,6993417,0
337,1785929199645,50749,0,5305916,0,6993324,0
338,1785929199655,50784,0,5305667,0,6993188,0
339,1785929199666,50938,0,5305513,0,6993039,0
340,1785929199675,50922,0,5305461,0,6992980,0
341,1785929199686,51123,0,5305281,0,6992808,0
342,1785929199695,51466,0,5305246,0,6992838,0
343,1785929199706,51600,0,5305055,0,6992718,0
344,1785929199715,51662,0,5304787,0,6992577,0
345,1785929199726,51844,0,5304528,0,6992493,0
346,1785929199735,52053,0,5304528,0,6992270,0
347,1785929199746,52089,0,5304356,0,6992324,0
348,1785929199755,52136,0,5304267,0,6992207,0
349,1785929199768,52728,0,5304176,0,6992158,0
350,1785929199776,52991,0,5304085,0,6992160,0
351,1785929199786,53398,0,5303890,0,6991965,0
352,1785929199795,53912,0,5303836,0,6992118,0
353,1785929199806,54361,0,5303860,0,6992029,0
354,1785929199815,54691,0,5303628,0,6991932,0
355,1785929199826,55248,0,5303426,0,6991984,0
356,1785929199835,55774,0,5303367,0,6991839,0
357,1785929199846,55816,0,5303047,0,6991492,0
358,1785929199855,55793,0,5302922,0,6991280,0
359,1785929199866,55382,0,5302569,0,6990862,0
360,1785929199875,54466,0,5302146,0,6990188,0
361,1785929199891,53063,0,5301818,0,6989654,0
362,1785929199898,51307,0,5301563,0,6989239,0
363,1785929199908,49486,0,5301236,0,6988717,0
364,1785929199915,47115,0,5301012,0,6988376,0
365,1785929199928,45028,0,5300739,0,6987890,0
366,1785929199940,42778,0,5300477,0,6987550,0
367,1785929199946,40841,0,5300305,0,6987169,0
368,1785929199955,38652,0,5300026,0,6986730,0
369,1785929199966,36470,0,5299608,0,6986369,0
370,1785929199975,34445,0,5299114,0,6985769,0
371,1785929199990,32561,0,5298869,0,6985310,0
372,1785929199995,30683,0,5298474,0,6984935,0
373,1785929200007,29060,0,5298163,0,6984659,0
374,1785929200015,27588,0,5298035,0,6984461,0
375,1785929200026,26219,0,5297851,0,6984416,0
376,1785929200035,25287,0,5297635,0,6984173,0
377,1785929200046,24669,0,5297502,0,6983936,0
378,1785929200056,23675,0,5297185,0,6983809,0
379,1785929200066,22989,0,5296998,0,6983654,0
380,1785929200075,22383,0,5296756,0,6983606,0
381,1785929200088,22170,0,5296484,0,6983389,0
382,1785929200095,21733,0,5296324,0,6983155,0
383,1785929200106,21224,0,5296131,0,6983161,0
384,1785929200115,21148,0,5295788,0,6982822,0
385,1785929200126,20669,0,5295580,0,6982630,0
386,1785929200136,20346,0,5295292,0,6982390,0
387,1785929200147,20155,0,5295141,0,6982273,0
388,1785929200156,19905,0,5294992,0,6982214,0
389,1785929200166,19505,0,5294861,0,6982011,0
390,1785929200176,19431,0,5294870,0,6982022,0
391,1785929200186,19320,0,5294859,0,6982018,0
