sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
0,1785928979632,0,0,0,-1,699040,0
1,1785928979639,178376,0,655192,0,538799,0
2,1785928979650,178415,0,547942,0,538707,0
3,1785928979662,178512,0,547934,0,538651,0
4,1785928979670,178508,0,547936,0,538617,0
5,1785928979683,178506,0,547944,0,538602,0
6,1785928979690,178555,0,548018,0,538602,0
7,1785928979699,178585,0,547972,0,538594,0
8,1785928979710,178651,0,548016,0,538596,0
9,1785928979720,178648,0,547993,0,538558,0
10,1785928979732,178627,0,547991,0,538540,0
11,1785928979739,178568,0,547950,0,538516,0
12,1785928979750,178617,0,547992,0,538508,0
13,1785928979761,178608,0,547983,0,538549,0
14,1785928979771,178711,0,548017,0,538552,0
15,1785928979783,178747,0,548019,0,538547,0
16,1785928979797,178805,0,548032,0,538528,0
17,1785928979802,178727,0,548060,0,538559,0
18,1785928979812,178823,0,548108,0,538612,0
19,1785928979824,178868,0,548099,0,538634,0
20,1785928979837,178950,0,548080,0,538610,0
21,1785928979840,178932,0,548107,0,538628,0
22,1785928979850,178982,0,548167,0,538653,0
23,1785928979861,179027,0,548149,0,538655,0
24,1785928979873,179068,0,591850,0,538692,0
25,1785928979879,179142,0,591884,0,538702,0
26,1785928979890,24943,0,569353,0,707370,0
27,1785928979899,25034,0,569440,0,707375,0
28,1785928979912,25078,0,569365,0,707394,0
29,1785928979919,25173,0,569391,0,707388,0
30,1785928979930,25223,0,569366,0,707348,0
31,1785928979939,25240,0,569352,0,707374,0
32,1785928979953,25363,0,569386,0,707351,0
33,1785928979960,25328,0,569332,0,707357,0
34,1785928979970,25392,0,569362,0,707325,0
35,1785928979980,25414,0,569336,0,707337,0
36,1785928979990,25479,0,569304,0,707286,0
37,1785928980001,25579,0,569278,0,707249,0
38,1785928980010,25518,0,1014929,0,1432511,0
39,1785928980020,25610,0,1014855,0,1432500,0
40,1785928980030,-11711,0,1103773,0,1416629,0
41,1785928980040,-11621,0,1103604,0,1416438,0
42,1785928980050,-11643,0,1103438,0,1416069,0
43,1785928980060,-11605,0,1103120,0,1415511,0
44,1785928980070,-11601,0,1102687,0,1414893,0
45,1785928980080,-11844,0,1102094,0,1414112,0
46,1785928980091,-12175,0,1101675,0,1413614,0
47,1785928980100,-12334,0,1101611,0,1413435,0
48,1785928980112,-12403,0,1101939,0,1413574,0
49,1785928980120,-12280,0,1102375,0,1414043,0
50,1785928980130,-12256,0,1102908,0,1414695,0
51,1785928980142,-12300,0,1103220,0,1415166,0
52,1785928980150,-12334,0,5507427,0,7068995,0
53,1785928980160,-12455,0,5507366,0,7068838,0
54,1785928980170,-60928,0,5494359,0,7063424,0
55,1785928980180,-61512,0,5493805,0,7062672,0
56,1785928980190,-61923,0,5493486,0,7062105,0
57,1785928980200,-62253,0,5493162,0,7061686,0
58,1785928980210,-62387,0,5493123,0,7061617,0
59,1785928980220,-62309,0,5493423,0,7061564,0
60,1785928980230,-62162,0,5493594,0,7061836,0
61,1785928980240,-62003,0,5494093,0,7062114,0
62,1785928980251,-61653,0,5494474,0,7062559,0
63,1785928980261,-61293,0,5494955,0,7063231,0
64,1785928980273,-60912,0,5495435,0,7063725,0
65,1785928980280,-60478,0,5495880,0,7064301,0
66,1785928980290,-60078,0,5452526,0,7064557,0
67,1785928980300,-59559,0,5452679,0,7064858,0
68,1785928980310,-59218,0,5493166,0,7064833,0
69,1785928980320,-58765,0,5493165,0,7064709,0
70,1785928980330,-58245,0,5493052,0,7064745,0
71,1785928980340,-57796,0,5493028,0,7064583,0
72,1785928980350,-57378,0,5493025,0,7064724,0
73,1785928980360,-56951,0,5493144,0,7064734,0
74,1785928980370,-56544,0,5493178,0,7064851,0
75,1785928980383,-56195,0,5493156,0,7064862,0
76,1785928980394,-55596,0,5493346,0,7065073,0
77,1785928980400,-55219,0,5493427,0,7065082,0
78,1785928980411,-54702,0,5493524,0,7065209,0
79,1785928980420,-54500,0,5493593,0,7065050,0
80,1785928980432,-54028,0,5493753,0,7065352,0
81,1785928980440,-53600,0,5493766,0,7065542,0
82,1785928980451,-53274,0,5493764,0,7065612,0
83,1785928980460,-52858,0,5493975,0,7065567,0
84,1785928980471,-52563,0,5494001,0,7065659,0
85,1785928980481,-52138,0,5494055,0,7065646,0
86,1785928980490,-51664,0,5494208,0,7065852,0
87,1785928980500,-51151,0,5494341,0,7065965,0
88,1785928980511,-50692,0,5494498,0,7065995,0
89,1785928980520,-50225,0,5494506,0,7066278,0
90,1785928980531,-49754,0,5494445,0,7066273,0
91,1785928980541,-49269,0,5494550,0,7066264,0
92,1785928980551,-48814,0,5494630,0,7066441,0
93,1785928980562,-48090,0,5494754,0,7066682,0
94,1785928980578,-47485,0,5494865,0,7066854,0
95,1785928980580,-46916,0,5495041,0,7066983,0
96,1785928980594,-46333,0,5495209,0,7067174,0
97,1785928980600,-45548,0,5495309,0,7067353,0
98,1785928980611,-44899,0,5495251,0,7067481,0
99,1785928980620,-44358,0,5495322,0,7067618,0
100,1785928980631,-43638,0,5495323,0,7067483,0
101,1785928980640,-43061,0,5495286,0,7067658,0
102,1785928980651,-42350,0,5495530,0,7067813,0
103,1785928980660,-41531,0,5495631,0,7068051,0
104,1785928980672,-40831,0,5495754,0,7068277,0
105,1785928980681,-40095,0,5495873,0,7068511,0
106,1785928980691,-39499,0,5495956,0,7068560,0
107,1785928980700,-38679,0,5496027,0,7068707,0
108,1785928980711,-38054,0,5496068,0,7068637,0
109,1785928980720,-37288,0,5496053,0,7068853,0
110,1785928980732,-36610,0,5496084,0,7068882,0
111,1785928980741,-35945,0,5496197,0,7068897,0
112,1785928980753,-35249,0,5495948,0,7068688,0
113,1785928980761,-34915,0,5495865,0,7068350,0
114,1785928980771,-34840,0,5495998,0,7068308,0
115,1785928980781,-34824,0,5495982,0,7067960,0
116,1785928980791,-35160,0,5495879,0,7067776,0
117,1785928980801,-35655,0,5495896,0,7067511,0
118,1785928980812,-36147,0,5495827,0,7067257,0
119,1785928980821,-36516,0,5495783,0,7067094,0
120,1785928980831,-37151,0,5495663,0,7066925,0
121,1785928980841,-37680,0,5495557,0,7066878,0
122,1785928980852,-38181,0,5495538,0,7066600,0
123,1785928980861,-38668,0,5495323,0,7066148,0
124,1785928980871,-39119,0,5495274,0,7066137,0
125,1785928980885,-39520,0,5495134,0,7065930,0
126,1785928980892,-39679,0,5495103,0,7066025,0
127,1785928980901,-39762,0,5495222,0,7066226,0
128,1785928980916,-39872,0,5495440,0,7066380,0
129,1785928980923,-39677,0,5495735,0,7066760,0
130,1785928980932,-39617,0,5495829,0,7066856,0
131,1785928980941,-39437,0,5495800,0,7067058,0
132,1785928980952,-39286,0,5495910,0,7067041,0
133,1785928980961,-39045,0,5495799,0,7066922,0
134,1785928980972,-38819,0,5495966,0,7066976,0
135,1785928980981,-38489,0,5495938,0,7067320,0
136,1785928980992,-38045,0,5495979,0,7067398,0
137,1785928981001,-37665,0,5496236,0,7067661,0
138,1785928981012,-37208,0,5496134,0,7067675,0
139,1785928981021,-36815,0,5496093,0,7067734,0
140,1785928981031,-36486,0,5496109,0,7067770,0
141,1785928981041,-36048,0,5496029,0,7067735,0
142,1785928981053,-35604,0,5495809,0,7067515,0
143,1785928981061,-35157,0,5495688,0,7067409,0
144,1785928981073,-34757,0,5495701,0,7067415,0
145,1785928981081,-34414,0,5495849,0,7067635,0
146,1785928981092,-33962,0,5495982,0,7067791,0
147,1785928981101,-33577,0,5496003,0,7068079,0
148,1785928981112,-33241,0,5496129,0,7068095,0
149,1785928981122,-32909,0,5496379,0,7068431,0
150,1785928981132,-32405,0,5496407,0,7068675,0
151,1785928981142,-32044,0,5496449,0,7068640,0
152,1785928981152,-31645,0,5496374,0,7068655,0
153,1785928981162,-31461,0,5496299,0,7068626,0
154,1785928981172,-31070,0,5496193,0,7068417,0
155,1785928981182,-30711,0,5496241,0,7068614,0
156,1785928981192,-30218,0,5496470,0,7068719,0
157,1785928981202,-29729,0,5496308,0,7068648,0
158,1785928981213,-29462,0,5496344,0,7068766,0
159,1785928981222,-28910,0,5496253,0,7068892,0
160,1785928981235,-28386,0,5496348,0,7069028,0
161,1785928981242,-28004,0,5496346,0,7068974,0
162,1785928981253,-27475,0,5496306,0,7069050,0
163,1785928981262,-26836,0,5496336,0,7069096,0
164,1785928981272,-26472,0,5496347,0,7069182,0
165,1785928981282,-25833,0,5496427,0,7069313,0
166,1785928981293,-25297,0,5496436,0,7069377,0
167,1785928981309,-24571,0,5496592,0,7069515,0
168,1785928981312,-24011,0,5496714,0,7069794,0
169,1785928981322,-23197,0,5497156,0,7070271,0
170,1785928981332,-22508,0,5497347,0,7070776,0
171,1785928981342,-21880,0,5497686,0,7070937,0
172,1785928981353,-21153,0,5497880,0,7071272,0
173,1785928981362,-20393,0,5497918,0,7071331,0
174,1785928981373,-19669,0,5497981,0,7071590,0
175,1785928981382,-18951,0,5498138,0,7071649,0
176,1785928981394,-18295,0,5498128,0,7071803,0
177,1785928981402,-17767,0,5498164,0,7071952,0
178,1785928981413,-17035,0,5498216,0,7072024,0
179,1785928981422,-16268,0,5498230,0,7072157,0
180,1785928981432,-15638,0,5498327,0,7072247,0
181,1785928981442,-14864,0,5498292,0,7072403,0
182,1785928981453,-14190,0,5498376,0,7072476,0
183,1785928981462,-13566,0,5498320,0,7072354,0
184,1785928981473,-12781,0,5498549,0,7072632,0
185,1785928981484,-12046,0,5498758,0,7072815,0
186,1785928981494,-11106,0,5499109,0,7073223,0
187,1785928981502,-10309,0,5499289,0,7073504,0
188,1785928981513,-9455,0,5499404,0,7073788,0
189,1785928981522,-8651,0,5499690,0,7073898,0
190,1785928981534,-8151,0,5499630,0,7074031,0
191,1785928981542,-7220,0,5499789,0,7074161,0
192,1785928981556,-6724,0,5499749,0,7074042,0
193,1785928981562,-6473,0,5499565,0,7073723,0
194,1785928981573,-6283,0,5499495,0,7073523,0
195,1785928981582,-6422,0,5499484,0,7073176,0
196,1785928981593,-6604,0,5499378,0,7072976,0
197,1785928981603,-7032,0,5499498,0,7072898,0
198,1785928981613,-7375,0,5499502,0,7072754,0
199,1785928981623,-7924,0,5499534,0,7072639,0
200,1785928981633,-8359,0,5499575,0,7072664,0
201,1785928981643,-8736,0,5499514,0,7072326,0
202,1785928981654,-9314,0,5499527,0,7072378,0
