sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
127,1785929340040,-21054,0,5911331,0,7486529,0
128,1785929340051,-20101,0,5911292,0,7486521,0
129,1785929340065,-19038,0,5911413,0,7486523,0
130,1785929340078,-18259,0,5911429,0,7486772,0
131,1785929340082,-17100,0,5911435,0,7486795,0
132,1785929340095,-16090,0,5911345,0,7486793,0
133,1785929340100,-14987,0,5911184,0,7486897,0
134,1785929340113,-14104,0,5911303,0,7486893,0
135,1785929340121,-13056,0,5911147,0,7486816,0
136,1785929340131,-11891,0,5911159,0,7486703,0
137,1785929340141,-10952,0,5911060,0,7487076,0
138,1785929340151,-9816,0,5911054,0,7487033,0
139,1785929340161,-8816,0,5911236,0,7487065,0
140,1785929340171,-7580,0,5911321,0,7487319,0
141,1785929340181,-6741,0,5911467,0,7487489,0
142,1785929340191,-5616,0,5911804,0,7487974,0
143,1785929340201,-4234,0,5912103,0,7488585,0
144,1785929340211,-3380,0,5912496,0,7489051,0
145,1785929340221,-2529,0,5912655,0,7489313,0
146,1785929340231,-2867,0,5912331,0,7488934,0
147,1785929340242,-4060,0,5911782,0,7488222,0
148,1785929340252,-6419,0,5911227,0,7487309,0
149,1785929340261,-9983,0,5910573,0,7486226,0
150,1785929340274,-14387,0,5909948,0,7485198,0
151,1785929340281,-19353,0,5909418,0,7484233,0
152,1785929340291,-24712,0,5909001,0,7483152,0
153,1785929340301,-29973,0,5908434,0,7482297,0
154,1785929340312,-35004,0,5908018,0,7481396,0
155,1785929340321,-39439,0,5907583,0,7480450,0
156,1785929340331,-43046,0,5907171,0,7479644,0
157,1785929340341,-46120,0,5906844,0,7478934,0
158,1785929340352,-48785,0,5906490,0,7478620,0
159,1785929340361,-50914,0,5906399,0,7478391,0
160,1785929340373,-52468,0,5906176,0,7478002,0
161,1785929340381,-53950,0,5905923,0,7477895,0
162,1785929340392,-55057,0,5905527,0,7477390,0
163,1785929340401,-55850,0,5905338,0,7476872,0
164,1785929340412,-56725,0,5905045,0,7476490,0
165,1785929340422,-57356,0,5904650,0,7476339,0
